ID,Species,Fry,Date,Sex,Mass (g),SL (hand-mm),SL (mm),Depth (mm),Partner,Relative Size,Round,Category,Dif Mass,Dif SL (H),Dif SL,Dif Dep,Shim,App,Out,Part,In,Shim_Dif,App_Dif,Out_Dif,Part_Dif,In_Dif,T,E2,Pr,11KT
JMA01,marleiri,No,20240709,Male,2.58,49,52.1,9.86,JMA16,Smaller,1,S_B,-1.32,-7,0,0,1,0,403,237,559,1,-3,-700,207,493,230,30,665,34
JMA01,marleiri,No,20240814,Male,2.59,51,0,0,JMA12,Bigger,2,S_B,-0.21,3,0,0,2,0,1200,0,0,2,0,437,-101,-336,166,17,584,37
JMA02,marleiri,No,20240606,Male,2.01,52,53.15,11.45,JMA12,Bigger,1,B_S,-0.05,6,6.65,2.44,0,5,1140,15,44,-1,3,372,-39,-332,317,239,1045,39
JMA02,marleiri,No,20240725,Male,2.72,52,0,0,JMA19,Smaller,2,B_S,-2.54,-8,0,0,22,10,739,66,395,16,-25,120,-89,-28,255,30,405,36
JMA03,marleiri,No,20240606,Male,4.76,57,58.17,13.52,JMA13,Bigger,1,B_S,0.64,2,1.65,0.77,0,16,1051,34,114,-15,13,648,-201,-446,176,86,366,20
JMA03,marleiri,No,20240702,Male,4.76,57,58.21,13.39,JMA15,Smaller,2,B_S,-0.77,-3,-2.59,0.29,25,5,697,126,377,17,-4,-201,-22,188,109,21,381,15
JMA04,marleiri,No,20240606,Male,4.55,57,58.41,13.38,JMA15,Smaller,1,S_B,-0.7,-3,-5.69,-0.68,2,1,210,375,615,1,-3,-267,366,-294,154,91,434,21
JMA04,marleiri,No,20240709,Male,4.33,57,0,0,JMA11,Bigger,2,S_B,0.29,3,0,0,4,35,521,323,355,-15,14,-143,298,-157,216,67,418,23
JMA05,marleiri,No,20240613,Male,2.31,48,50.5,10.01,JMA11,Smaller,1,S_B,-1.53,-5,-5.34,-2.14,8,0,559,85,555,8,-12,-207,-14,220,186,17,720,31
JMA05,marleiri,No,20240705,Male,2.49,48,49.5,9.62,JMA18,Bigger,2,S_B,0.73,3,3.35,-0.26,0,15,497,71,632,-3,-3,-43,-48,91,177,22,611,28
JMA06,marleiri,No,20240612,Male,5.07,58,59.6,12.6,JMA16,Bigger,1,B_S,1.19,3,2.5,1.6,0,10,1097,11,92,-14,2,967,-332,-635,79,23,356,14
JMA06,marleiri,No,20240703,Male,5.09,58,59.87,12.99,JMA19,Smaller,2,B_S,-0.38,-2,-2.6,-1.36,5,29,975,73,152,-18,4,975,-14,-961,38,16,322,12
JMA08,marleiri,No,20240612,Male,2.07,47,47.7,8.5,JMA17,Smaller,1,S_B,-2.31,-10,-10.1,-4.3,47,1,483,166,551,45,-5,41,3,-35,330,32,857,46
JMA08,marleiri,No,20240725,Male,2.17,47,0,0,JMA18,Bigger,2,S_B,0.06,2,0,0,0,2,1099,52,50,-2,2,639,-208,-409,332,58,668,46
JMA11,marleiri,No,20240613,Female,3.84,53,55.84,12.15,JMA05,Bigger,1,B_S,1.53,5,5.34,2.14,0,12,766,99,335,-8,12,207,14,-220,144,208,463,7
JMA11,marleiri,No,20240709,Female,4.04,54,0,0,JMA04,Smaller,2,B_S,-0.29,-3,0,0,19,21,664,25,512,15,-14,143,-298,157,246,965,448,12
JMA12,marleiri,No,20240715,Female,2.65,47,47.91,10.33,JMA10,Bigger,1,B_S,0.39,2,2.41,0.67,0,22,965,101,134,-16,19,75,-82,9,197,131,649,9
JMA12,marleiri,No,20240814,Female,2.8,48,0,0,JMA01,Smaller,2,B_S,0.21,-3,0,0,0,0,763,101,336,-2,0,-437,101,336,166,103,680,7
JMA13,marleiri,No,20240606,Female,4.12,55,56.52,12.75,JMA03,Smaller,1,S_B,-0.64,-2,-1.65,-0.77,15,3,404,236,561,15,-13,-648,201,446,264,1678,542,14
JMA13,marleiri,No,20240719,Female,4.13,55,57.6,12.9,JMA22,Bigger,2,S_B,1.16,6,6.5,2.22,3,18,938,111,149,-32,17,280,3,-285,211,491,500,9
